STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,Usage
69,2019-10-01 00:00:00,2019-09-30 23:57:28,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 01:00:00,2019-10-01 00:58:24,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 02:00:00,2019-10-01 01:49:09,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 03:00:00,2019-10-01 02:52:33,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 04:00:00,2019-10-01 03:53:28,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 05:00:00,2019-10-01 04:52:27,GRAND CANAL DOCK,40,9,31,Open,Grand Canal Dock,53.342636,-6.238695,22.5
69,2019-10-01 06:00:00,2019-10-01 05:59:12,GRAND CANAL DOCK,40,0,40,Open,Grand Canal Dock,53.342636,-6.238695,0.0
69,2019-10-01 07:00:00,2019-10-01 06:57:41,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 08:00:00,2019-10-01 07:59:09,GRAND CANAL DOCK,40,0,40,Open,Grand Canal Dock,53.342636,-6.238695,0.0
69,2019-10-01 09:00:00,2019-10-01 08:53:05,GRAND CANAL DOCK,40,17,23,Open,Grand Canal Dock,53.342636,-6.238695,42.5
69,2019-10-01 10:00:00,2019-10-01 09:59:23,GRAND CANAL DOCK,40,18,22,Open,Grand Canal Dock,53.342636,-6.238695,45.0
69,2019-10-01 11:00:00,2019-10-01 10:51:34,GRAND CANAL DOCK,40,8,32,Open,Grand Canal Dock,53.342636,-6.238695,20.0
69,2019-10-01 12:00:00,2019-10-01 11:55:28,GRAND CANAL DOCK,40,9,31,Open,Grand Canal Dock,53.342636,-6.238695,22.5
69,2019-10-01 13:00:00,2019-10-01 12:51:56,GRAND CANAL DOCK,40,8,32,Open,Grand Canal Dock,53.342636,-6.238695,20.0
69,2019-10-01 14:00:00,2019-10-01 13:55:52,GRAND CANAL DOCK,40,5,35,Open,Grand Canal Dock,53.342636,-6.238695,12.5
69,2019-10-01 15:00:00,2019-10-01 14:55:50,GRAND CANAL DOCK,40,14,26,Open,Grand Canal Dock,53.342636,-6.238695,35.0
69,2019-10-01 16:00:00,2019-10-01 15:56:15,GRAND CANAL DOCK,40,22,18,Open,Grand Canal Dock,53.342636,-6.238695,55.00000000000001
69,2019-10-01 17:00:00,2019-10-01 16:59:16,GRAND CANAL DOCK,40,40,0,Open,Grand Canal Dock,53.342636,-6.238695,100.0
69,2019-10-01 18:00:00,2019-10-01 17:58:03,GRAND CANAL DOCK,40,37,3,Open,Grand Canal Dock,53.342636,-6.238695,92.5
69,2019-10-01 19:00:00,2019-10-01 18:54:35,GRAND CANAL DOCK,40,40,0,Open,Grand Canal Dock,53.342636,-6.238695,100.0
69,2019-10-01 20:00:00,2019-10-01 19:54:19,GRAND CANAL DOCK,40,40,0,Open,Grand Canal Dock,53.342636,-6.238695,100.0
69,2019-10-01 21:00:00,2019-10-01 20:59:18,GRAND CANAL DOCK,40,38,2,Open,Grand Canal Dock,53.342636,-6.238695,95.0
69,2019-10-01 22:00:00,2019-10-01 21:56:52,GRAND CANAL DOCK,40,40,0,Open,Grand Canal Dock,53.342636,-6.238695,100.0
69,2019-10-01 23:00:00,2019-10-01 22:50:18,GRAND CANAL DOCK,40,40,0,Open,Grand Canal Dock,53.342636,-6.238695,100.0
75,2019-10-01 00:00:00,2019-09-30 23:52:33,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 01:00:00,2019-10-01 00:53:26,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 02:00:00,2019-10-01 01:54:19,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 03:00:00,2019-10-01 02:58:58,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 04:00:00,2019-10-01 03:49:39,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 05:00:00,2019-10-01 04:51:40,JAMES STREET,40,12,28,Open,James Street,53.343456,-6.287409,30.0
75,2019-10-01 06:00:00,2019-10-01 05:54:25,JAMES STREET,40,18,22,Open,James Street,53.343456,-6.287409,45.0
75,2019-10-01 07:00:00,2019-10-01 06:56:13,JAMES STREET,40,24,16,Open,James Street,53.343456,-6.287409,60.0
75,2019-10-01 08:00:00,2019-10-01 07:54:36,JAMES STREET,40,38,2,Open,James Street,53.343456,-6.287409,95.0
75,2019-10-01 09:00:00,2019-10-01 08:56:13,JAMES STREET,40,37,3,Open,James Street,53.343456,-6.287409,92.5
75,2019-10-01 10:00:00,2019-10-01 09:56:46,JAMES STREET,40,38,2,Open,James Street,53.343456,-6.287409,95.0
